TYKNU,LGSOC  ,"Barnes et al, 2021",EMEM+10%FBS,"(Barretina et al., 2012)",unspecified,Cellosaurus.org,0.022222222,45,Cellosaurus.org,,,,,,,,,,,,,
RMGI,CCOC,"Barnes et al, 2021",F12+10%FBS,http://www.cellbankaustralia.com/rmg-i-en.html,ascites,Cellosaurus.org,0.052219321,19.15,Taylor lab,18.8,27.34,11.31,,,,,,,,,,
RMUGS,MOC,"Barnes et al, 2021",F12+10%FBS,PMID: 23729402,ovary,Cellosaurus.org,0.022346369,44.75,Cellosaurus.org,,,,,,,,,,,,,
CAOV4,HGSOC  ,"Barnes et al, 2021",Leibovitz's L-15 medium + 20% FBS,https://www.atcc.org/products/htb-76,fallopian tube,Cellosaurus.org,0.008333333,120,Cellosaurus.org,,,,,,,,,,,,,
OVCAR4,HGSOC  ,"Barnes et al, 2021",Leibovitz's L-15 medium + 20% FBS,https://www.atcc.org/products/htb-76,ascites,Cellosaurus.org,0.025337838,39.46666667,Cellosaurus.org,,,,,,,,,,,,,
ES2,LGSOC  ,"Barnes et al, 2021",McCOY'S5A+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,,,None on cellosaurus,,,,,,,,,,,,,
SKOV3,CCOC,"Barnes et al, 2021",McCOY'S5A+10%FBS,https://www.atcc.org/products/htb-77#detailed-product-information,ascites,Cellosaurus.org,0.025658296,38.97375,Cellosaurus.org,,,,,,,,,,,,,
EFO21,CCOC,"Barnes et al, 2021",RPMI1640+1%_MEM_NEAAs,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM659378,ascites,Cellosaurus.org,0.022105961,45.23666667,Cellosaurus.org,,,,,,,,,,,,,
EFO27,ENOC,"Barnes et al, 2021",RPMI1640+1%_MEM_NEAAs,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM659378,omentum,Cellosaurus.org,0.024859132,40.22666667,Cellosaurus.org,,,,,,,,,,,,,
OVK18,ENOC,"Barnes et al, 2021",RPMI1640+10%FBS,https://aacrjournals.org/mct/article/20/1/64/92838/Reprogramming-of-Nucleotide-Metabolism-Mediates,ascites,Cellosaurus.org,0.020833333,48,Cellosaurus.org,,,,,,,,,,,,,
A2780,ENOC,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.05024284,19.90333333,Cellosaurus.org,,,,,,,,,,,,,
IGROV1,CCOC,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.037610481,26.58833333,Cellosaurus.org,,,,,,,,,,,,,
KURAMOCHI,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,http://www.cellbankaustralia.com/kuramochi.html,ascites,Cellosaurus.org,0.026267402,38.07,Taylor lab,27.81,36.6,39.26,27.48,37.88,49.16,48.3,,,,,,
OC314,ENOC,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",ascites,Cellosaurus.org,0.052110474,19.19,Cellosaurus.org,,,,,,,,,,,,,
ONCODG1,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,https://www.dsmz.de/collection/catalogue/details/culture/ACC-507,ascites,Cellosaurus.org,0.033333333,30,Cellosaurus.org,,,,,,,,,,,,,
OVCAR8,LGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,https://www.atcc.org/products/crl-3468,unspecified,Cellosaurus.org,0.037372699,26.7575,Cellosaurus.org,,,,,,,,,,,,,
OVISE,CCOC,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",Pelvis; innominate bone,Cellosaurus.org,0.01759634,56.83,Taylor lab,30.38,69.75,70.36,,,,,,,,,,
OVKATE,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",ovary,Cellosaurus.org,0.010416667,96,Cellosaurus.org,,,,,,,,,,,,,
OVMANA,CCOC,"Barnes et al, 2021",RPMI1640+10%FBS,http://www.cellbankaustralia.com/ovmana.html,ovary,Cellosaurus.org,0.022839741,43.78333333,Taylor lab,39.61,45.36,46.38,,,,,,,,,,
OVSAHO,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",abdomen,Cellosaurus.org,0.020546538,48.67,Taylor lab,47.1,56.99,41.92,,,,,,,,,,
OVTOKO,CCOC,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",spleen,Cellosaurus.org,0.014285714,70,Cellosaurus.org,,,,,,,,,,,,,
NIHOVCAR3,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS,"(Barretina et al., 2012)",ascites,Cellosaurus.org,0.03417635,29.26,Taylor lab,27.41,28.65,31.72,,,,,,,,,,
SNU8,HGSOC  ,"Barnes et al, 2021",RPMI1640+10%FBS+0.3g/Lglutamine,,ascites,Cellosaurus.org,0.022727273,44,Cellosaurus.org,,,,,,,,,,,,,
TOV112D,ENOC,"Barnes et al, 2022",Complete OSE medium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3532154/,,,0.038364153,26.066,Cellosaurus.org,,,,,,,,,,,,,
TOV21G,CCOC,"Barnes et al, 2023",1:1 MCDB 105 and Medium 199,https://www.atcc.org/products/crl-11730,,,0.032044435,31.20666667,Cellosaurus.org,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
